,Unnamed: 0,Type of Dwelling,General Zoning Classification,Linear feet of street connected to the property,Lot size in square feet,Type Of Road Access To Property,Type Of Alley Access To Property,General Shape of Property,Flatness Of The Property,Type Of Utilities Available,plot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions (if more than one is present),Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house,Masonry veneer type,Masonry veneer area in square feet,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,: Type 2 finished square feet ,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
776,776,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,86,11210,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,7,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,240,Gd,TA,PConc,Gd,TA,Av,GLQ,20,Unf,0,1594,1614,GasA,Ex,Y,SBrkr,1614,0,1614,0,0,2,0,3,1,Gd,7,Typ,0,No,Attchd,2005.0,RFn,3,865,TA,TA,Y,144,59,0,0,0,0,No,No,No,0,Jul,2006,New,Partial,221500
777,777,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,13350,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,5,5,1974,1974,Hip,Standard (Composite) Shingle,Hard Board,None,0,TA,TA,CBlock,TA,TA,No,ALQ,762,Unf,0,102,864,GasA,TA,Y,SBrkr,894,0,894,1,0,1,0,3,1,TA,5,Typ,1,Fa,Attchd,1974.0,Unf,2,440,TA,TA,Y,241,0,0,0,0,0,No,MnPrv,No,0,Jun,2006,WD,Normal,142500
778,778,DUPLEX - ALL STYLES AND AGES,Residential High-Density,60,8400,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Feedr&Norm,Normal,5,5,1977,1977,Gable,Standard (Composite) Shingle,Plywood,Brick Face,320,TA,TA,Slab,No,No,No,No,0,No,0,0,0,GasA,TA,Y,SBrkr,2020,0,2020,0,0,2,0,4,2,TA,10,Typ,2,TA,Detchd,1977.0,Unf,2,630,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Oct,2007,WD,Normal,144000
779,779,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,78,10530,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Normal,6,5,1977,1977,Gable,Standard (Composite) Shingle,Plywood,Brick Face,90,TA,TA,CBlock,Gd,TA,Gd,GLQ,975,Unf,0,0,975,GasA,TA,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,TA,4,Typ,0,No,Attchd,1977.0,Unf,2,504,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,May,2006,WD,Normal,135000
780,780,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,63,7875,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,7,5,1995,1996,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,38,TA,TA,PConc,Gd,Gd,No,Unf,0,Unf,0,1237,1237,GasA,Gd,Y,SBrkr,1253,0,1253,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1995.0,Fin,2,402,TA,TA,Y,220,21,0,0,0,0,No,No,No,0,Jun,2007,WD,Normal,176000
781,781,2-STORY 1946 & NEWER,Residential Low-Density,65,7153,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,6,5,1992,1992,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,Gd,PConc,Gd,TA,No,ALQ,387,Unf,0,374,761,GasA,Ex,Y,SBrkr,810,793,1603,0,0,2,1,3,1,Gd,7,Typ,0,No,Attchd,1992.0,RFn,2,484,TA,TA,Y,0,124,0,0,0,0,No,No,No,0,Jul,2006,WD,Normal,175900
782,782,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,67,16285,Paved,No Alley Access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,7,5,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1413,1413,GasA,Ex,Y,SBrkr,1430,0,1430,0,0,2,0,3,1,Gd,6,Typ,0,No,Attchd,2001.0,RFn,2,605,TA,TA,Y,0,33,0,0,0,0,No,No,No,0,Jun,2009,WD,Normal,187100
783,783,SPLIT FOYER,Residential Low-Density,0,9101,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Mitchell,Normal,Normal,5,6,1978,1978,Gable,Standard (Composite) Shingle,Plywood,Brick Face,104,TA,Gd,PConc,Gd,TA,Av,GLQ,1097,Unf,0,0,1097,GasA,Ex,Y,SBrkr,1110,0,1110,1,0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978.0,Fin,2,602,TA,TA,Y,303,30,0,0,0,0,No,No,No,0,Jul,2009,WD,Normal,165500
784,784,2-1/2 STORY ALL AGES,Residential Medium Density,35,6300,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,6,6,1914,2001,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,742,742,GasA,Ex,Y,SBrkr,742,742,1484,0,0,2,0,3,1,TA,9,Typ,1,Gd,No,,No,0,0,No,No,Y,0,291,134,0,0,0,No,No,No,0,Jun,2008,WD,Normal,128000
785,785,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9790,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Feedr&Norm,Normal,6,5,1967,1967,Gable,Standard (Composite) Shingle,Brick Face,None,0,TA,TA,CBlock,TA,TA,No,Rec,251,LwQ,630,491,1372,GasA,TA,Y,SBrkr,1342,0,1342,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1967.0,Unf,2,457,TA,TA,Y,0,0,0,0,197,0,No,No,No,0,Sep,2009,WD,Normal,161500
786,786,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,60,10800,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Artery&Norm,Normal,5,6,1915,1950,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,Gd,PConc,Fa,TA,No,LwQ,686,Unf,0,0,686,GasA,TA,Y,SBrkr,966,686,1652,1,0,2,0,4,1,TA,7,Typ,0,No,Detchd,1961.0,Unf,1,416,TA,TA,Y,0,0,196,0,0,0,No,No,Shed,1200,Jun,2010,WD,Normal,139000
787,787,2-STORY 1946 & NEWER,Residential Low-Density,76,10142,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,7,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,656,Unf,0,300,956,GasA,Ex,Y,SBrkr,956,1128,2084,1,0,2,1,4,1,Gd,8,Typ,0,No,BuiltIn,2004.0,RFn,2,618,TA,TA,Y,0,45,0,0,0,0,No,No,No,0,Jan,2010,WD,Normal,233000
788,788,1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,50,6000,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Normal,4,7,1954,2000,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,901,901,GasA,Ex,Y,SBrkr,901,0,901,0,0,1,0,2,1,TA,4,Typ,0,No,Detchd,1954.0,Unf,1,281,Fa,TA,Y,0,0,0,0,0,0,No,No,No,0,Aug,2008,WD,Normal,107900
789,789,2-STORY 1946 & NEWER,Residential Low-Density,0,12205,Paved,No Alley Access,Slightly irregular,Depression,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Normal,Normal,6,8,1966,2007,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,157,TA,TA,CBlock,TA,Fa,Gd,LwQ,568,Unf,0,264,832,GasA,Gd,Y,SBrkr,976,1111,2087,0,0,2,1,5,1,Gd,9,Typ,0,No,Attchd,1966.0,Fin,2,444,TA,TA,Y,133,168,0,0,0,0,No,No,No,0,Jul,2007,WD,Normal,187500
790,790,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,43,3182,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Normal,Normal,7,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,11,Gd,TA,PConc,Gd,TA,No,GLQ,16,Unf,0,1129,1145,GasA,Ex,Y,SBrkr,1145,0,1145,0,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2005.0,Fin,2,397,TA,TA,Y,100,16,0,0,0,0,No,No,No,0,Sep,2009,WD,Normal,160200
791,791,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,11333,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Mitchell,Normal,Normal,6,5,1976,1976,Gable,Standard (Composite) Shingle,Hard Board,None,0,TA,TA,PConc,Gd,TA,Av,ALQ,539,Unf,0,490,1029,GasA,TA,Y,SBrkr,1062,0,1062,1,0,1,0,3,1,TA,5,Typ,2,TA,Attchd,1976.0,RFn,2,539,TA,TA,Y,120,0,0,0,0,0,No,No,No,0,May,2007,WD,Normal,146800
792,792,2-STORY 1946 & NEWER,Residential Low-Density,92,9920,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Northridge,Normal,Normal,7,5,1996,1997,Gable,Standard (Composite) Shingle,Metal Siding,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,862,Unf,0,255,1117,GasA,Ex,Y,SBrkr,1127,886,2013,1,0,2,1,3,1,TA,8,Typ,1,TA,Attchd,1997.0,Unf,2,455,TA,TA,Y,180,130,0,0,0,0,No,No,No,0,Jun,2007,WD,Normal,269790
793,793,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,76,9158,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,8,5,2007,2007,Gable,Standard (Composite) Shingle,Cement Board,Stone,140,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1496,1496,GasA,Ex,Y,SBrkr,1496,0,1496,0,0,2,0,3,1,Gd,7,Typ,0,No,Attchd,2007.0,Fin,2,474,TA,TA,Y,168,130,0,0,0,0,No,No,No,0,Jun,2007,New,Partial,225000
794,794,2-STORY 1946 & NEWER,Residential Low-Density,0,10832,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Normal,7,5,1994,1996,Gable,Standard (Composite) Shingle,Metal Siding,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,712,712,GasA,Ex,Y,SBrkr,1086,809,1895,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1994.0,Fin,2,409,TA,TA,Y,143,46,0,0,0,0,No,No,Shed,500,Oct,2008,WD,Normal,194500
795,795,2-STORY 1946 & NEWER,Residential Low-Density,70,8400,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,6,6,1980,1981,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,130,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,650,650,GasA,TA,Y,SBrkr,888,676,1564,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1980.0,Unf,2,476,TA,TA,Y,0,50,0,0,204,0,No,MnPrv,No,0,Apr,2010,WD,Normal,171000
796,796,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,71,8197,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,6,5,1977,1977,Gable,Standard (Composite) Shingle,Plywood,Brick Face,148,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,660,660,GasA,Ex,Y,SBrkr,1285,0,1285,0,0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977.0,RFn,2,528,TA,TA,Y,138,0,0,0,0,0,No,MnPrv,No,0,Apr,2007,WD,Normal,143500
797,797,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,57,7677,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,5,1953,1953,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,TA,CBlock,TA,TA,No,BLQ,570,Unf,0,203,773,GasA,Gd,Y,SBrkr,773,0,773,0,0,1,0,2,1,TA,4,Typ,0,No,Attchd,1953.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Apr,2008,WD,Abnorml,110000
798,798,2-STORY 1946 & NEWER,Residential Low-Density,104,13518,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,9,5,2008,2009,Hip,Standard (Composite) Shingle,Vinyl Siding,Stone,860,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1926,1926,GasA,Ex,Y,SBrkr,1966,1174,3140,0,0,3,1,4,1,Ex,11,Typ,2,Gd,BuiltIn,2009.0,Fin,3,820,TA,TA,Y,144,78,0,0,0,0,No,No,No,0,Jul,2009,New,Partial,485000
799,799,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,South & West of Iowa State University,Feedr&Norm,Normal,5,7,1937,1950,Gable,Standard (Composite) Shingle,Wood Siding,Brick Face,252,TA,TA,BrkTil,Gd,TA,No,ALQ,569,Unf,0,162,731,GasA,Ex,Y,SBrkr,981,787,1768,1,0,1,1,3,1,Gd,7,Typ,2,TA,Detchd,1939.0,Unf,1,240,TA,TA,Y,0,0,264,0,0,0,No,MnPrv,No,0,Jun,2007,WD,Normal,175000
800,800,2-STORY 1946 & NEWER,Residential Low-Density,79,12798,Paved,No Alley Access,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Clear Creek,Feedr&Norm,Normal,6,5,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,462,Unf,0,154,616,GasA,Gd,Y,SBrkr,616,1072,1688,1,0,2,1,4,1,Gd,8,Typ,0,No,Attchd,1997.0,RFn,2,603,TA,TA,Y,403,114,185,0,0,0,No,No,Shed,400,May,2008,WD,Normal,200000
801,801,1-STORY 1945 & OLDER,Residential Medium Density,40,4800,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,4,7,1916,1990,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,CBlock,TA,TA,No,LwQ,197,Unf,0,999,1196,GasA,Ex,Y,FuseA,1196,0,1196,1,0,1,0,2,1,TA,5,Typ,0,No,Detchd,1957.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Jul,2007,WD,Normal,109900
802,802,2-STORY 1946 & NEWER,Residential Low-Density,63,8199,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,7,5,2005,2005,Gable,Standard (Composite) Shingle,Wood Shingles,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,648,Unf,0,80,728,GasA,Ex,Y,SBrkr,728,728,1456,1,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,Fin,2,410,TA,TA,Y,36,18,0,0,0,0,No,No,No,0,Oct,2008,WD,Normal,189000
803,803,2-STORY 1946 & NEWER,Residential Low-Density,107,13891,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,9,5,2008,2009,Hip,Standard (Composite) Shingle,Vinyl Siding,Stone,424,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1734,1734,GasA,Ex,Y,SBrkr,1734,1088,2822,0,0,3,1,4,1,Ex,12,Typ,1,Gd,BuiltIn,2009.0,RFn,3,1020,TA,TA,Y,52,170,0,0,192,0,No,No,No,0,Jan,2009,New,Partial,582933
804,804,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9000,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,5,1954,1954,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,CBlock,TA,TA,No,LwQ,812,Unf,0,124,936,GasA,TA,Y,SBrkr,1128,0,1128,0,0,1,0,2,1,TA,5,Min1,0,No,Attchd,1954.0,Unf,1,286,TA,TA,Y,0,0,0,0,0,0,No,GdWo,No,0,Jun,2006,WD,Family,118000
805,805,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,12274,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Somerset,Normal,Normal,7,5,2008,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,256,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1417,1417,GasA,Ex,Y,SBrkr,1428,0,1428,0,0,2,0,3,1,Ex,6,Typ,0,No,Attchd,2008.0,RFn,2,554,TA,TA,Y,0,60,0,0,0,0,No,No,No,0,Jul,2008,New,Partial,227680
806,806,SPLIT OR MULTI-LEVEL,Residential Low-Density,75,9750,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,5,1967,1967,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,TA,PConc,TA,TA,Av,ALQ,400,Rec,480,100,980,GasA,Gd,Y,SBrkr,980,0,980,0,0,2,0,3,1,TA,6,Typ,0,No,Attchd,1967.0,Fin,1,384,TA,TA,Y,68,0,0,0,0,0,No,No,No,0,Oct,2006,WD,Normal,135500
807,807,2-STORY 1945 & OLDER,Residential Low-Density,144,21384,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Normal,5,6,1923,2004,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,CBlock,TA,TA,Gd,GLQ,1309,Unf,0,15,1324,GasA,Ex,Y,SBrkr,1072,504,1576,2,0,1,1,3,1,Gd,6,Typ,1,TA,Attchd,1923.0,RFn,2,528,TA,TA,Y,0,312,0,0,0,0,No,No,No,0,May,2009,WD,Normal,223500
808,808,SPLIT OR MULTI-LEVEL,Residential Low-Density,85,13400,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,5,1966,1966,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,1047,TA,TA,CBlock,TA,TA,Av,ALQ,516,BLQ,128,380,1024,GasA,TA,Y,SBrkr,1086,0,1086,1,0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,1966.0,RFn,2,484,TA,TA,Y,0,0,0,0,0,0,No,GdWo,No,0,Jun,2006,WD,Normal,159950
809,809,2-1/2 STORY ALL AGES,Residential Medium Density,90,8100,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Normal,Normal,5,5,1898,1965,Hip,Standard (Composite) Shingle,Asbestos Shingles,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,849,849,GasA,TA,N,FuseA,1075,1063,2138,0,0,2,0,2,3,TA,11,Typ,0,No,Detchd,1910.0,Unf,2,360,Fa,Po,N,40,156,0,0,0,0,No,MnPrv,No,0,Nov,2009,WD,Normal,106000
810,810,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,78,10140,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,6,6,1974,1999,Hip,Standard (Composite) Shingle,Hard Board,Brick Face,99,TA,TA,CBlock,TA,TA,No,ALQ,663,LwQ,377,0,1040,GasA,Fa,Y,SBrkr,1309,0,1309,1,0,1,1,3,1,Gd,5,Typ,1,Fa,Attchd,1974.0,RFn,2,484,TA,TA,Y,265,0,0,0,0,648,Fa,GdPrv,No,0,Jan,2006,WD,Normal,181000
811,811,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,0,4438,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,6,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,169,Gd,TA,PConc,Gd,TA,Gd,GLQ,662,Unf,0,186,848,GasA,Ex,Y,SBrkr,848,0,848,1,0,1,0,1,1,Gd,4,Typ,1,Gd,Attchd,2004.0,Fin,2,420,TA,TA,Y,140,0,0,0,0,0,No,No,No,0,Jun,2008,ConLD,Normal,144500
812,812,1-STORY 1946 & NEWER ALL STYLES,C (all),66,8712,Gravel,No Alley Access,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Iowa DOT and Rail Road,Normal,Normal,5,5,1952,1952,Hip,Standard (Composite) Shingle,Wood Siding,None,0,Fa,TA,CBlock,TA,TA,Av,Unf,0,Unf,0,540,540,GasA,TA,N,FuseA,1044,0,1044,0,0,1,0,2,1,Fa,4,Typ,0,No,Basment,1952.0,Unf,2,504,TA,TA,N,0,0,0,0,0,0,No,No,Shed,54,Jun,2010,WD,Alloca,55993
813,813,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9750,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,6,6,1958,1958,Gable,Standard (Composite) Shingle,Metal Siding,Brick Face,243,TA,TA,CBlock,TA,TA,No,Rec,608,Unf,0,834,1442,GasA,Gd,Y,SBrkr,1442,0,1442,0,0,1,1,4,1,TA,7,Typ,0,No,Attchd,1958.0,RFn,1,301,TA,TA,Y,0,0,275,0,0,0,No,No,Shed,500,Apr,2007,COD,Normal,157900
814,814,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,45,8248,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,5,7,1918,1950,Gable,Standard (Composite) Shingle,Stucco,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,686,686,GasW,Gd,Y,SBrkr,686,564,1250,0,1,1,1,3,1,Fa,7,Typ,0,No,Detchd,1955.0,Unf,1,280,TA,TA,P,207,0,96,0,0,0,No,No,No,0,Jul,2006,WD,Normal,116000
815,815,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,48,12137,Paved,No Alley Access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,College Creek,Normal,Normal,7,5,1998,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,442,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1649,1649,GasA,Ex,Y,SBrkr,1661,0,1661,0,0,2,0,3,1,Gd,6,Typ,0,No,Attchd,1998.0,RFn,2,598,TA,TA,Y,0,34,0,0,0,0,No,No,No,0,May,2010,WD,Normal,224900
816,816,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11425,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,5,6,1954,1954,Gable,Standard (Composite) Shingle,Brick Face,None,0,TA,TA,CBlock,TA,TA,No,BLQ,486,Unf,0,522,1008,GasA,Gd,Y,SBrkr,1008,0,1008,0,0,1,0,2,1,TA,4,Typ,1,Gd,Attchd,1954.0,RFn,1,275,TA,TA,Y,0,0,120,0,0,0,No,No,No,0,Jul,2006,WD,Normal,137000
817,817,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,13265,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Mitchell,Normal,Normal,8,5,2002,2002,Hip,Standard (Composite) Shingle,Cement Board,Brick Face,148,Gd,TA,PConc,Gd,TA,No,GLQ,1218,Unf,0,350,1568,GasA,Ex,Y,SBrkr,1689,0,1689,1,0,2,0,3,1,Gd,7,Typ,2,Gd,Attchd,2002.0,RFn,3,857,TA,TA,Y,150,59,0,0,0,0,No,No,No,0,Jul,2008,WD,Normal,271000
818,818,SPLIT OR MULTI-LEVEL,Residential Low-Density,80,8816,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Normal,Normal,6,7,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,80,TA,TA,CBlock,TA,TA,Av,GLQ,504,Unf,0,506,1010,GasA,Gd,Y,SBrkr,1052,0,1052,1,0,1,0,3,1,TA,6,Typ,0,No,Attchd,1971.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,No,MnPrv,No,0,Jun,2010,WD,Normal,155000
819,819,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,44,6371,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,7,5,2009,2010,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,128,Gd,TA,PConc,Gd,TA,Mn,GLQ,733,Unf,0,625,1358,GasA,Ex,Y,SBrkr,1358,0,1358,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2010.0,RFn,2,484,TA,TA,Y,192,35,0,0,0,0,No,No,No,0,Jun,2010,New,Partial,224000
